AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
"29964","4","R15, R43, R44, R45","1M24","WID SMD 1M24 1% 0,063W  BF 1005 (0402)","1005 (0402)","1.24M","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"35178","40","R26, R27, R28, R96, R97, R100, R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R126, R127, R136, R137, R138, R139, R140, R190, R191, R203, R204, R205, R206, R261, R263, R269, R272, R273, R274","36R","WID SMD 36R 5% 0,05W BF 0603 (0201)","0603 (0201)","36R","RESC0603X26N_V","01","P001","Yes","SMT","","TK200","5%","","0.05W",""
"25242","39","R34, R35, R73, R74, R76, R81, R93, R94, R165, R179, R186, R192, R196, R197, R198, R199, R200, R201, R202, R212, R223, R225, R226, R228, R229, R230, R231, R233, R235, R237, R239, R240, R241, R249, R250, R268, R299, R302, R303","4K7","WID SMD 4K7 1% 0,05W  BF 0603 (0201)","0603 (0201)","4.7K","RESC0603X26N_V","01","P001","","SMT","Yes","TK100","1%","","","RC0201FR-074K7L"
"33741","4","R39, R53, R98, R180","4K32","WID SMD 4K32 1% 0,063W BF 1005 (0402)","1005 (0402)","4.32K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"22558","3","R46, R72, R147","100K","WID SMD 100K 1% 0,063W  BF 1005 (0402)","1005 (0402)","100K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"26068","2","R47, R83","249K","WID SMD 249K 1% 0,063W  BF 1005 (0402)","1005 (0402)","249K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"29692","1","R49","7K15","WID SMD 7K15 1% 0,063W BF 1005 (0402)","1005 (0402)","7.15K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"25643","19","R54, R56, R59, R65, R128, R129, R131, R132, R185, R187, R207, R208, R232, R236, R253, R256, R257, R258, R260","2K05","WID SMD 2K05 1% 0,063W BF 1005 (0402)","1005 (0402)","2.05K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"23126","4","R55, R58, R183, R252","4K12","WID SMD 4K12 1% 0,063W  BF 1005 (0402)","1005 (0402)","4.12K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"24870","3","R63, R178, R254","15K","WID SMD 15K 1% 0,063W BF 1005 (0402)","1005 (0402)","15K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
