AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature
"26289","6","TP1, TP2, TP3, TP4, TP5, TP6","Testpoint 0.8mm","Testpoint 0.8mm","","","TP_0.8mm","01","MDE-2-A","","MECH","","","","","","","",""
"34543","1","U1","A5EC008BM16AE6S  NOT CHECKED!!!","A5EC008BM16AE6S","","","BGA896C50P30X30_1600X1600X178B33N","01","MDE-2-A","","SMT","","","","","Standard","A5EC008BM16AE6S","-40/+100 (Tj)","-55/+150 (Abs)"
"31417","1","U2","SN74AXC4T774BQBR","SN74AXC4T774BQBR","WQFN16","","QFN50P350X250X90-17T200X100N","01","MDE-2-A","Yes","SMT","","","","","","SN74AXC4T774BQBR","-40/+125","-65/+150(Abs)"
"27277","1","U3","FT2232H-56Q","FT2232H-56Q","VQFN56","","QFN50P800X800-57T610X610N","01","MDE-2-A","Yes","SMT","Yes","","","","","FT2232H-56Q","-40/+85","-65/+150(Abs)"
"27979","1","U4","NRND : LIS3DH","NRND : LIS3DH","LGA16","","PQFN50P300X300X100-16N","01","MDE-2-A","","SMT","","","","","","LIS3DHTR","",""
"34574","1","U5","W957D8NBRA4I","W957D8NBRA4I","BGA25","128 MBit","BGA25C100P5X5_800X600X120N","01","MDE-2-A","","SMT","","PSRAM","","","1.16 V - 2.0 V","W957D8NBRA4I","-40/+85 (Abs)","-65/+150 (Abs)"
"34122","5","U6, U8, U10, U11, U14","FS1606-0600-AL","FS1606-0600-A","SMD17","6 A","FS1406","01","MDE-2-A","","SMT","","","","","0.6V","FS1606-0600-A ","-40/+125 (Tj)","-55/+150 (Abs)"
"29137","1","U7","510CCA12M0000CAG","510CCA12M0000CAG","3.2 x 2.5 mm","12M","DFN320X250X110-4N","01","MDE-2-A","","SMT","","","","","","510CCA12M0000CAG","-40/+85",""
"27997","1","U9","M93C66-RMC6TG","M93C66-RMC6TG","UFDFPN8","4Kbit","UFDFPN8","01","MDE-2-A","Yes","SMT","Yes","Microwire","","","1.8V/5.5V","M93C66-RMC6TG","-40/+85",""
"29131","1","U12","510KCA25M0000CAG","510KCA25M0000CAG","3.2 x 2.5 mm","25M","DFN320X250X110-4N","01","MDE-2-A","","SMT","","","","","","510KCA25M0000CAG","-40/+85",""
"28676","1","U13","MT25QU256ABA8E12-1SIT","MT25QU256ABA8E12-1SIT","TFBGA24","256Mb","BGA24C100P5X5_800X600X120N","01","MDE-2-A","","SMT","","NOR","","","1.7V - 2V","MT25QU256ABA8E12-1SIT","-40/+85","-65/+150 (Abs)"
