AN,Quantity,Designator,Name,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
33745,2,"MP1, MP2","zSFP Cage, SFP Cage","1001122117,  zSFP+ Cage","zSFP+ Cage, SFP+ Cage",,100112-2117,4,G1E13-A,Yes,MECH,,,,,,1001122117
29981,6,"MP3, MP4, MP5, MP6, MP7, MP8",D01464,"Abstandhalter Einrasthalter für 3,2 mm PCB-Loch 6 mm hoch",,,,4,G1E13-A,,MECH,,,,,,D01464
27037,6,"PM1, PM2, PM3, PM4, PM5, PM6",FIDU-DOT - mini,FIDU-DOT - MINI 0.5mm,,,FIDU-DOT - mini,4,G1E13-A,,FIDU,Yes,,,,,
22844,21,"R1, R37, R38, R49, R51, R61, R70, R129, R212, R213, R224, R233, R237, R279, R308, R309, R310, R394, R396, R442, R457",10R,"WID SMD 10R 1% 0,063W  BF 1005 (0402)",1005 (0402),10,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25073,20,"R2, R109, R110, R183, R184, R185, R186, R197, R198, R203, R206, R215, R216, R217, R219, R231, R267, R349, R350, R351",2K,"WID SMD 2K 1% 0,063W  BF 1005 (0402)",1005 (0402),2K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,RC0402FR-072KL
23661,20,"R3, R14, R16, R24, R27, R162, R170, R173, R180, R191, R209, R211, R221, R227, R277, R280, R405, R406, R409, R436",240R,"WID SMD 240R 1% 0,063W BF 1005 (0402)",1005 (0402),240,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,RC0402FR-07240RL
24914,93,"R5, R20, R25, R29, R30, R31, R40, R52, R62, R63, R64, R107, R116, R130, R131, R134, R137, R149, R151, R161, R163, R167, R168, R193, R195, R199, R220, R244, R245, R260, R262, R264, R265, R270, R271, R284, R288, R289, R291, R292, R295, R296, R302, R303, R304, R307, R322, R323, R327, R328, R329, R330, R331, R332, R333, R334, R335, R338, R339, R340, R341, R343, R344, R345, R346, R347, R348, R355, R365, R366, R368, R369, R370, R371, R373, R374, R387, R391, R399, R400, R410, R411, R413, R414, R418, R421, R425, R429, R430, R431, R480, R493, R495",10K,"WID SMD 10K 1% 0,05W BF 0603 (0201)",0603 (0201),10K,RESC0603X26N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,,RC0201FR-0710KL
22757,4,"R6, R7, R441, R492",1M,"WID SMD 1M 5% 0,25W  BF 3216 (1206)",3216 (1206),1M,RESC3216X65N_V,4,G1E13-A,,SMT,Yes,TK100,5%,,,
25021,14,"R8, R36, R41, R300, R360, R361, R362, R363, R364, R407, R444, R445, R446, R447",33R,"WID SMD 33R 1% 0,05W  BF 0603 (0201)",0603 (0201),33,RESC0603X26N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,,RC0201FR-0733RL
28112,9,"R12, R22, R42, R177, R214, R223, R266, R283, R401",1K,"WID SMD 1K 1% 0,05W  BF 0603 (0201)",0603 (0201),1K,RESC0603X26N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,25V,
22738,62,"R13, R17, R28, R33, R43, R67, R68, R69, R72, R74, R76, R86, R90, R91, R92, R93, R95, R96, R98, R99, R101, R103, R104, R105, R108, R111, R114, R117, R121, R135, R136, R141, R144, R147, R152, R153, R158, R159, R160, R207, R228, R229, R230, R232, R276, R281, R298, R342, R382, R384, R395, R408, R415, R416, R427, R450, R451, R456, R461, R473, R474, R496",0R,WID SMD 0R BF 1005 (0402),1005 (0402),0,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,,
22503,11,"R21, R32, R106, R261, R311, R325, R326, R336, R337, R367, R372",100R,"WID SMD 100R 1% 0,05W BF 0603 (0201)",0603 (0201),100,RESC0603X26N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,,
27123,13,"R34, R35, R50, R166, R169, R171, R172, R174, R179, R189, R190, R434, R435",499R,"WID SMD 499R 1% 0,063W BF 1005 (0402)",1005 (0402),499R,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
23125,8,"R39, R53, R148, R404, R438, R439, R460, R464",5K1,"WID SMD 5K1 1% 0,063W BF 1005 (0402)",1005 (0402),5.1K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
27581,4,"R44, R45, R54, R56",3M16,"WID SMD 3M16 1% 0,063W BF 1005 (0402)",1005 (0402),3.16M,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
22558,5,"R46, R57, R205, R239, R269",100K,"WID SMD 100K 1% 0,063W  BF 1005 (0402)",1005 (0402),100K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
33798,4,"R47, R55, R59, R204",51K1,"WID SMD 51K1 1% 0,063W  BF 1005 (0402)",1005 (0402),51.1K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,WR04X5112FTL
26068,2,"R48, R60",249K,"WID SMD 249K 1% 0,063W  BF 1005 (0402)",1005 (0402),249K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
26460,3,"R58, R78, R80",20K,"WID SMD 20K 1% 0,063W BF 1005 (0402)",1005 (0402),20K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
22507,1,R66,100R,"WID SMD 100R 1% 0,063W  BF 1005 (0402)",1005 (0402),100,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
22849,2,"R73, R150",12K1,"WID SMD 12K1 1% 0,063W BF 1005 (0402)",1005 (0402),12.1K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
22852,2,"R75, R79",2K7,"WID SMD 2K7 1% 0,063W BF 1005 (0402)",1005 (0402),2.7K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
24878,4,"R77, R87, R187, R202",3K01,"WID SMD 3K01 1% 0,063W BF 1005 (0402)",1005 (0402),3.01K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
22750,7,"R81, R85, R181, R182, R196, R201, R487",10K,"WID SMD 10K 1% 0,063W BF 1005 (0402)",1005 (0402),10K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
24870,6,"R82, R379, R397, R470, R475, R481",15K,"WID SMD 15K 1% 0,063W BF 1005 (0402)",1005 (0402),15K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25966,1,R83,243K,"WID SMD 243K 1% 0,063W  BF 1005 (0402)",1005 (0402),243K,RESC1005X40N_V,4,G1E13-A,,SMT,,TK100,1%,,0.063W,
25164,2,"R84, R465",29K4,"WID SMD 29K4 1% 0,063W  BF 1005 (0402)",1005 (0402),29.4K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25242,45,"R89, R165, R175, R225, R246, R247, R248, R249, R250, R251, R252, R253, R254, R256, R257, R268, R278, R282, R285, R286, R287, R299, R301, R305, R306, R352, R353, R354, R357, R358, R359, R383, R385, R386, R390, R392, R393, R402, R419, R420, R443, R488, R489, R490, R491",4K7,"WID SMD 4K7 1% 0,05W  BF 0603 (0201)",0603 (0201),4.7K,RESC0603X26N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,,RC0201FR-074K7L
22752,5,"R97, R424, R432, R440, R479",1K,"WID SMD 1K 1% 0,063W  BF 1005 (0402)",1005 (0402),1K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
25949,1,R102,3K24,"WID SMD 3K24 1% 0,063W  BF 1005 (0402)",1005 (0402),3.24K,RESC1005X40N_V,4,G1E13-A,,SMT,Yes,TK100,1%,,0.063W,
